Class error: 5.85%, Comp error: 5.9%
Class error: 6.5%, Comp error: 7.6%
Class error: 6.35%, Comp error: 5.7%
Class error: 7.35%, Comp error: 6.3%
Class error: 10.65%, Comp error: 9.0%
Class error: 4.7%, Comp error: 4.3%
Class error: 6.05%, Comp error: 4.7%
Class error: 6.95%, Comp error: 5.8%
Class error: 6.7%, Comp error: 6.0%
Class error: 4.85%, Comp error: 4.5%
