Class error: 2.85%, Comp error: 2.0%
Class error: 2.8%, Comp error: 1.7%
Class error: 3.1%, Comp error: 2.8%
Class error: 3.05%, Comp error: 2.3%
Class error: 3.85%, Comp error: 2.9%
Class error: 2.15%, Comp error: 1.2%
Class error: 3.85%, Comp error: 2.5%
Class error: 3.0%, Comp error: 1.9%
Class error: 3.1%, Comp error: 2.2%
Class error: 3.4%, Comp error: 2.3%
