Class error: 2.85%, Comp error: 4.1%
Class error: 2.8%, Comp error: 4.1%
Class error: 3.1%, Comp error: 4.9%
Class error: 3.05%, Comp error: 4.3%
Class error: 3.85%, Comp error: 5.3%
Class error: 2.15%, Comp error: 5.1%
Class error: 3.85%, Comp error: 3.5%
Class error: 3.0%, Comp error: 2.7%
Class error: 3.1%, Comp error: 5.7%
Class error: 3.4%, Comp error: 4.8%
