Class error: 6.25%, Comp error: 4.5%
Class error: 5.65%, Comp error: 4.7%
Class error: 5.45%, Comp error: 3.7%
Class error: 5.75%, Comp error: 4.7%
Class error: 6.15%, Comp error: 4.1%
Class error: 6.95%, Comp error: 3.6%
Class error: 6.65%, Comp error: 5.0%
Class error: 7.0%, Comp error: 5.9%
Class error: 6.3%, Comp error: 5.4%
Class error: 6.55%, Comp error: 5.5%
